Genre,Author,Title,Year
Romance/Erotic Romance,Charlie Adhara,The Wolf at the Door,2018
Romance/Erotic Romance,Charlie Adhara,The Wolf at Bay,2018
Romance/Erotic Romance,Charlie Adhara,Thrown to the Wolves,2019
Romance/Erotic Romance,Charlie Adhara,Wolf in Sheep’s Clothing,2020
Romance/Erotic Romance,Brea Alepoú,His Bewildered Mate,2019
Romance/Erotic Romance,Brea Alepoú,Never Trust a Porn Star,2019
Romance/Erotic Romance,Brea Alepoú,Finding Mr. Claus,2019
Romance/Erotic Romance,Brea Alepoú,A King to Be Protected: Gay Harem,2019
Romance/Erotic Romance,Brea Alepoú,Their Blood: MMMMM Dark Paranormal Romance,2020
Romance/Erotic Romance,Brea Alepoú,His Royal Mate,2020
Romance/Erotic Romance,Brea Alepoú,His Apprehensive Mate,2020
Romance/Erotic Romance,Brea Alepoú,Inconvenient Attachments: Dark MMM Paranormal Romance,2020
Romance/Erotic Romance,Brea Alepoú,His Runaway Mate,2020
Romance/Erotic Romance,Kianna Alexander,Love For All Time,2018
Romance/Erotic Romance,Kianna Alexander,Couldn’t Ask for More,2018
Romance/Erotic Romance,Kianna Alexander,Forever with You & The Sweet Taste of Seduction,2019
Romance/Erotic Romance,Kianna Alexander,Then Came You & Written With Love,2019
Romance/Erotic Romance,Kianna Alexander,Never Let Me Go,2020
Romance/Erotic Romance,Kianna Alexander,The Wedding Secret,2020
Romance/Erotic Romance,Kianna Alexander,After Hours Redemption,2020
Romance/Erotic Romance,Kianna Alexander,After Hours Attraction,2021
Romance/Erotic Romance,Rochelle Alers,The Long Hot Summer,2019
Romance/Erotic Romance,Rochelle Alers,The Only Man,2019
Romance/Erotic Romance,Rochelle Alers,The Bridal Suite,2019
Romance/Erotic Romance,Rochelle Alers,Second-Chance Sweet Shop,2019
Romance/Erotic Romance,Rochelle Alers,Starting Over in Wickham Falls,2020
Romance/Erotic Romance,Rochelle Alers,The Seaside Cafe,2020
Romance/Erotic Romance,Rochelle Alers,The Beach House,2021
Romance/Erotic Romance,Danielle Allen,Tell-Tale,2019
Romance/Erotic Romance,Danielle Allen,V is for Villainous,2019
Romance/Erotic Romance,Danielle Allen,V is for Vengeful,2019
Romance/Erotic Romance,Danielle Allen,Annabelle and Lee,2020
Romance/Erotic Romance,Danielle Allen,Slow News Day: A Groundhog Day Hot Holiday Hookup,2020
Romance/Erotic Romance,Danielle Allen,Fool in Love: An April Fool’s Day Hot Holiday Hookup,2020
Romance/Erotic Romance,Danielle Allen,Trouble’s What You’re In,2020
Romance/Erotic Romance,Dylan Allen,The Legacy,2018
Romance/Erotic Romance,Dylan Allen,The Sun and Her Star,2018
Romance/Erotic Romance,Dylan Allen,The Legend,2019
Romance/Erotic Romance,Dylan Allen,Between Now and Forever,2019
Romance/Erotic Romance,Dylan Allen,The Jezebel,2020
Romance/Erotic Romance,Michelle Arris,See Me,2019
Romance/Erotic Romance,A.C. Arthur,Lover’s Bid,2019
Romance/Erotic Romance,A.C. Arthur,A Cougar’s Kiss,2019
Romance/Erotic Romance,A.C. Arthur,Awaken the Dragon,2019
Romance/Erotic Romance,A.C. Arthur,Office Policy,2019
Romance/Erotic Romance,A.C. Arthur,Corporate Seduction,2019
Romance/Erotic Romance,A.C. Arthur,Laws of Attraction,2019
Romance/Erotic Romance,A.C. Arthur,A Private Affair,2020
Romance/Erotic Romance,A.C. Arthur,Roark,2020
Romance/Erotic Romance,A.C. Arthur,Claim the Dragon,2020
Romance/Erotic Romance,A.C. Arthur,At Your Service,2020
Romance/Erotic Romance,A.C. Arthur,The Last Affair,2021
Romance/Erotic Romance,Avril Ashton,Call the Coroner,2017
Romance/Erotic Romance,Avril Ashton,Kiss Your Scars,2018
Romance/Erotic Romance,Avril Ashton,Dig Your Grave,2020
Romance/Erotic Romance,Avril Ashton,Remember Me,2020
Romance/Erotic Romance,Amarie Avant,Make Me Stay,2018
Romance/Erotic Romance,Amarie Avant,The Wedding,2018
Romance/Erotic Romance,Joy Avery,Never,2017
Romance/Erotic Romance,Joy Avery,Maybe,2017
Romance/Erotic Romance,Joy Avery,Always,2018
